,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Arian Foster,HOU,RB,24,16,13,0,0,0,0,327,1616,84,66,604,9.15,3,2,0,0,0,1616,16,327,604,2,392
1,Peyton Hillis,CLE,RB,24,16,14,1,2,13,0,270,1177,77,61,477,7.82,8,5,13,0,2,1177,11,270,477,2,294.92
2,Adrian Peterson,MIN,RB,25,15,15,0,0,0,0,283,1298,50,36,341,9.47,1,1,0,0,0,1298,12,283,341,1,275.9
3,Jamaal Charles,KAN,RB,24,16,6,0,0,0,0,230,1467,64,45,468,10.4,3,2,0,0,0,1467,5,230,468,3,282.5
4,Chris Johnson,TEN,RB,25,16,16,0,0,0,0,316,1364,57,44,245,5.57,3,2,0,0,0,1364,11,316,245,1,272.9
5,Brandon Lloyd,DEN,WR,29,16,11,0,0,0,0,1,-18,153,77,1448,18.81,0,0,0,0,0,-18,0,1,1448,11,286
6,Dwayne Bowe,KAN,WR,26,16,16,0,0,0,0,1,4,133,72,1162,16.14,1,0,0,0,0,4,0,1,1162,15,278.6
7,Darren McFadden,OAK,RB,23,13,13,0,1,0,0,223,1157,61,47,507,10.79,4,3,0,0,1,1157,7,223,507,3,267.4
8,Roddy White,ATL,WR,29,16,16,0,0,0,0,1,3,179,115,1389,12.08,1,1,0,0,0,3,0,1,1389,10,312.2
9,Michael Vick,PHI,QB,30,12,12,233,372,3018,6,100,676,0,0,0,0,11,3,3018,21,372,676,9,100,0,0,308.32
10,Rashard Mendenhall,PIT,RB,23,16,16,0,0,0,0,324,1273,34,23,167,7.26,2,2,0,0,0,1273,13,324,167,0,241
11,LeSean McCoy,PHI,RB,22,15,13,0,0,0,0,207,1080,91,78,592,7.59,2,1,0,0,0,1080,7,207,592,2,297.2
12,Greg Jennings,GNB,WR,27,16,16,0,0,0,0,1,-1,125,76,1265,16.64,2,0,0,0,0,-1,0,1,1265,12,274.4
13,Matt Forte,CHI,RB,25,16,16,0,0,0,0,237,1069,70,51,547,10.73,3,2,0,0,0,1069,6,237,547,3,262.6
14,Michael Turner,ATL,RB,28,16,15,0,0,0,0,334,1371,20,12,85,7.08,2,2,0,0,0,1371,12,334,85,0,225.6
15,Ray Rice,BAL,RB,23,16,14,0,0,0,0,307,1220,83,63,556,8.83,0,0,0,0,0,1220,5,307,556,1,276.6
16,Aaron Rodgers,GNB,QB,27,15,15,312,475,3922,11,64,356,0,0,0,0,4,1,3922,28,475,356,4,64,0,0,304.48
17,Mike Wallace,PIT,WR,24,16,16,0,0,0,0,5,39,98,60,1257,20.95,1,0,0,0,0,39,0,5,1257,10,249.6
18,Calvin Johnson,DET,WR,25,15,15,0,0,0,0,4,32,137,77,1120,14.55,1,0,0,0,0,32,0,4,1120,12,264.2
19,Tom Brady,NWE,QB,33,16,16,324,492,3900,4,31,30,0,0,0,0,3,1,3900,36,492,30,1,31,0,0,299
20,Ahmad Bradshaw,NYG,RB,24,16,11,0,0,0,0,276,1235,58,47,314,6.68,7,6,0,0,0,1235,8,276,314,0,237.9
21,Maurice Jones-Drew,JAX,RB,25,14,14,0,1,0,1,299,1324,44,34,317,9.32,2,2,0,0,1,1324,5,299,317,2,234.1
22,Steven Jackson,STL,RB,27,16,16,0,0,0,0,330,1241,62,46,383,8.33,1,1,0,0,0,1241,6,330,383,0,242.4
23,Jason Witten,DAL,TE,28,16,16,0,0,0,0,0,0,128,94,1002,10.66,1,1,0,0,0,0,0,0,1002,9,246.2
24,Philip Rivers,SDG,QB,29,16,16,357,541,4710,13,29,52,0,0,0,0,7,4,4710,30,541,52,0,29,0,0,279.6
25,Peyton Manning,IND,QB,34,16,16,450,679,4700,17,18,18,0,0,0,0,3,1,4700,33,679,18,0,18,0,0,285.8
26,Reggie Wayne,IND,WR,32,16,16,0,0,0,0,0,0,175,111,1355,12.21,1,1,0,0,0,0,0,0,1355,6,280.5
27,Hakeem Nicks,NYG,WR,22,13,12,0,0,0,0,0,0,128,79,1052,13.32,1,0,0,0,0,0,0,0,1052,11,250.2
28,Andre Johnson,HOU,WR,29,13,13,0,0,0,0,2,10,138,86,1216,14.14,1,0,0,0,0,10,0,2,1216,8,256.6
29,Steve Johnson,BUF,WR,24,16,13,0,0,0,0,0,0,141,82,1073,13.09,1,1,0,0,0,0,0,0,1073,10,247.3
