,Current Sat Longitude,Sat Name,NORAD Number,Launch date,TLE Source,Site,Org,Op,Current Lat,Lat drift 10 minutes,Lon drift 10 minutes,Longitude at Epoch,Lon Driftrate [deg pr.day],Inclination,E/W Lon Osc (Incl),E/W Lon Osc (Ecc),Apogee[km],Perigee[km],Altitude [km],ID
330,  0.3164°W,METEOSAT-11 (MSG4),40732,2015-07-15 00:00:00,CEL,FRGUI,EUME,+,  -0.0733°S,0.011°S,0.000°W,  0.3244°W,0.008°E,   0.257°,0.0003°,0.0141°,35792,35782,35789,2015-034A  
331,  0.6539°W,THOR 7,40613,2015-04-26 00:00:00,CEL,FRGUI,NOR,+,   0.0015°N,0.000°S,0.001°W,  0.6697°W,0.001°W,   0.007°,0.0000°,0.0276°,35798,35778,35796,2015-022A  
332,  0.7299°W,THOR 5,32487,2008-02-11 00:00:00,CEL,TYMSC,NOR,+,  -0.0326°S,0.001°N,0.001°W,  0.7502°W,0.007°E,   0.022°,0.0000°,0.0257°,35797,35778,35795,2008-006A  
333,  0.8450°W,THOR 6,36033,2009-10-29 00:00:00,CEL,FRGUI,NOR,+,   0.0283°N,0.001°S,0.001°W,  0.8604°W,0.003°E,   0.061°,0.0000°,0.0215°,35795,35780,35792,2009-058B  
334,  0.9760°W,MEV-2,46113,2020-08-15 00:00:00,CEL,FRGUI,US,+,  -0.0440°S,0.000°N,0.000°W,  0.9879°W,0.007°E,   0.019°,0.0000°,0.0062°,35789,35785,35788,2020-056B  
335,  0.9908°W,INTELSAT 10-02,28358,2004-06-16 00:00:00,CEL,TYMSC,ITSO,+,  -0.0270°S,0.000°N,0.000°W,  0.9885°W,0.002°W,   0.003°,0.0000°,0.0065°,35790,35785,35788,2004-022A  
336,  1.7562°W,SKYNET 4E,25639,1999-02-26 00:00:00,CEL,FRGUI,UK,+,  -7.4914°S,0.360°S,0.005°W,  1.6511°W,0.002°E,  11.237°,0.5514°,0.0263°,35797,35778,35796,1999-009B  
329,  1.9033°E,BULGARIASAT-1,42801,2017-06-23 00:00:00,CEL,AFETR,BUL,+,  -0.0062°S,0.000°S,0.001°W,  1.8817°E,0.003°E,   0.026°,0.0000°,0.0302°,35799,35776,35797,2017-038A  
328,  2.8996°E,RASCOM-QAF 1R,36831,2010-08-04 00:00:00,CEL,FRGUI,RASC,+,  -0.0060°S,0.000°S,0.003°W,  2.8621°E,0.003°W,   0.009°,0.0000°,0.0625°,35811,35765,35809,2010-037B  
337,  3.0194°W,ABS-3A,40424,2015-03-02 00:00:00,CEL,AFETR,ABS,+,  -0.0344°S,0.000°N,0.000°W,  3.0150°W,0.001°E,   0.011°,0.0000°,0.0255°,35797,35778,35789,2015-010A  
327,  3.1630°E,EUTELSAT 3B,39773,2014-05-26 00:00:00,CEL,SEAL ,EUTE,+,  -0.0655°S,0.002°S,0.000°W,  3.0713°E,0.007°E,   0.069°,0.0000°,0.0605°,35809,35765,35786,2014-030A  
338,  3.8832°W,ASIASAT 8 (AMOS-7),40107,2014-08-05 00:00:00,CEL,AFETR,AC,+,   0.0008°N,0.000°S,0.001°W,  3.8946°W,0.000°W,   0.009°,0.0000°,0.0199°,35795,35780,35793,2014-046A  
326,  4.0917°E,AEHF-1 (USA 214),36868,2010-08-14 00:00:00,CEL,AFETR,US,+,   1.7165°N,0.182°S,0.009°W,  3.8496°E,0.006°E,   4.487°,0.0879°,0.0786°,35816,35758,35811,2010-039A  
339,  4.1528°W,AMOS-3,32794,2008-04-28 00:00:00,CEL,TYMSC,ISRA,+,  -0.0101°S,0.001°S,0.001°W,  4.1084°W,0.003°W,   0.024°,0.0000°,0.0307°,35799,35777,35798,2008-022A  
325,  4.8097°E,ASTRA 4A (SIRIUS 4),32299,2007-11-17 00:00:00,CEL,TYMSC,SES,+,  -0.0442°S,0.001°N,0.001°W,  4.7833°E,0.008°E,   0.021°,0.0000°,0.0313°,35799,35776,35797,2007-057A  
340,  4.9606°W,EUTELSAT 5 WEST A,27460,2002-07-05 00:00:00,CEL,FRGUI,EUTE,+,   1.2592°N,0.083°S,0.004°W,  5.0280°W,0.003°E,   2.273°,0.0226°,0.0640°,35811,35764,35809,2002-035A  
341,  4.9624°W,EUTELSAT 5 WEST B,44624,2019-10-09 00:00:00,CEL,TYMSC,EUTE,P,  -0.0738°S,0.002°S,0.002°W,  5.0039°W,0.002°W,   0.067°,0.0000°,0.0740°,35815,35761,35806,2019-067A  
324,  4.9770°E,SES-5,38652,2012-07-09 00:00:00,CEL,TYMSC,SES,+,  -0.0673°S,0.002°N,0.001°W,  4.9653°E,0.000°W,   0.056°,0.0000°,0.0211°,35796,35780,35794,2012-036A  
342,  5.1853°W,SYRACUSE 3B,29273,2006-08-11 00:00:00,CEL,FRGUI,FR,+,   0.0193°N,0.001°S,0.002°W,  5.2249°W,0.002°E,   0.048°,0.0000°,0.0584°,35809,35766,35806,2006-033B  
323,  5.9851°E,WGS F1 (USA 195),32258,2007-10-11 00:00:00,CEL,AFETR,US,+,  -0.0383°S,0.000°N,0.000°E,  5.9881°E,0.002°W,   0.019°,0.0000°,0.0018°,35789,35787,35786,2007-046A  
322,  6.9516°E,EUTELSAT 7B,39163,2013-05-14 00:00:00,CEL,TYMSC,EUTE,+,  -0.0792°S,0.001°S,0.002°W,  6.9288°E,0.000°E,   0.069°,0.0000°,0.0550°,35808,35767,35803,2013-022A  
321,  6.9707°E,EUTELSAT 7C,44334,2019-06-20 00:00:00,CEL,FRGUI,EUTE,+,  -0.0266°S,0.002°N,0.001°W,  6.9419°E,0.003°E,   0.047°,0.0000°,0.0356°,35801,35774,35799,2019-034B  
343,  6.9862°W,NILESAT 201,36830,2010-08-04 00:00:00,CEL,FRGUI,EGYP,+,   0.0011°N,0.000°S,0.002°W,  7.0095°W,0.006°W,   0.021°,0.0000°,0.0443°,35804,35772,35799,2010-037A  
320,  7.2110°E,EUTELSAT KONNECT,45027,2020-01-16 00:00:00,CEL,FRGUI,EUTE,+,   0.0128°N,0.001°S,0.000°E,  7.2137°E,0.002°E,   0.057°,0.0000°,0.0106°,35791,35784,35782,2020-005B  
344,  7.2217°W,EUTELSAT 7 WEST A,37816,2011-09-24 00:00:00,CEL,SEAL ,EUTE,+,  -0.0274°S,0.004°S,0.000°E,  7.2386°W,0.005°E,   0.091°,0.0000°,0.0680°,35812,35762,35784,2011-051A  
345,  7.9800°W,EUTELSAT 8 WEST B,40875,2015-08-20 00:00:00,CEL,FRGUI,EUTE,+,  -0.0570°S,0.003°S,0.003°W,  8.0276°W,0.000°W,   0.071°,0.0000°,0.0702°,35813,35762,35811,2015-039B  
319,  8.6711°E,SBIRS GEO-5 (USA 315),48618,2021-05-18 00:00:00,CEL,AFETR,US,+,  -7.2222°S,0.077°N,0.020°E,  8.6521°E,0.013°E,   7.378°,0.2377°,0.0625°,35810,35764,35778,2021-042A  
318,  8.9989°E,EUTELSAT 9B,41310,2016-01-29 00:00:00,CEL,TYMSC,EUTE,+,  -0.0039°S,0.003°S,0.000°W,  9.0001°E,0.009°E,   0.085°,0.0000°,0.0085°,35790,35784,35788,2016-005A  
317,  9.0277°E,EUTELSAT KA-SAT 9A,37258,2010-12-26 00:00:00,CEL,TYMSC,EUTE,+,  -0.0508°S,0.003°N,0.002°W,  8.9392°E,0.001°E,   0.064°,0.0000°,0.0522°,35807,35768,35800,2010-069A  
316,  9.3914°E,METEOSAT-10 (MSG3),38552,2012-07-05 00:00:00,CEL,FRGUI,EUME,+,  -0.7604°S,0.056°S,0.001°W,  9.4150°E,0.024°W,   1.497°,0.0098°,0.0035°,35791,35788,35789,2012-035B  
346,  9.9147°W,HELLAS-SAT 2,27811,2003-05-13 00:00:00,CEL,AFETR,GREC,+,   2.0439°N,0.133°S,0.005°W, 10.0256°W,0.001°E,   3.642°,0.0579°,0.0674°,35812,35763,35810,2003-020A  
315,  9.9821°E,EUTELSAT 10A,34710,2009-04-03 00:00:00,CEL,TYMSC,EUTE,+,  -0.0721°S,0.000°S,0.003°W,  9.9461°E,0.004°W,   0.054°,0.0000°,0.0670°,35813,35763,35811,2009-016A  
314, 10.3100°E,ECHOSTAR 21,42749,2017-06-08 00:00:00,CEL,TYMSC,US,+,  -3.5338°S,0.089°N,0.002°E, 10.2157°E,0.003°E,   4.021°,0.0706°,0.0229°,35796,35779,35795,2017-032A  
313, 10.9831°E,INMARSAT GX5,44801,2019-11-26 00:00:00,CEL,FRGUI,IM,+,  -0.0658°S,0.001°N,0.001°W, 10.9691°E,0.003°W,   0.043°,0.0000°,0.0201°,35795,35781,35794,2019-080B  
347, 10.9845°W,EXPRESS-AM44,33595,2009-02-11 00:00:00,CEL,TYMSC,CIS,+,  -0.0250°S,0.000°N,0.000°W, 10.9865°W,0.000°E,   0.015°,0.0000°,0.0100°,35791,35784,35786,2009-007A  
348, 11.0855°W,EXPRESS-AM33,32478,2008-01-28 00:00:00,CEL,TYMSC,CIS,+,   0.6777°N,0.033°S,0.000°E, 11.0915°W,0.001°E,   1.012°,0.0045°,0.0105°,35791,35784,35786,2008-003A  
349, 11.4626°W,TDRS 13,42915,2017-08-18 00:00:00,CEL,AFETR,US,+,  -4.3771°S,0.045°S,0.001°W, 11.4994°W,0.002°E,   4.503°,0.0886°,0.2227°,35869,35705,35854,2017-047A  
312, 12.0212°E,COSMOS 2539,44457,2019-08-05 00:00:00,CEL,TYMSC,CIS,+,   0.0194°N,0.001°S,0.000°E, 12.0207°E,0.004°E,   0.055°,0.0000°,0.0087°,35791,35784,35784,2019-048A  
350, 12.0222°W,WGS F9 (USA 275),42075,2017-03-19 00:00:00,CEL,AFETR,US,+,  -0.0481°S,0.000°N,0.000°E, 12.0130°W,0.004°W,   0.025°,0.0000°,0.0023°,35789,35787,35786,2017-016A  
351, 12.4505°W,EUTELSAT 48D,33460,2008-12-20 00:00:00,CEL,FRGUI,EUTE,+,   0.9786°N,0.045°S,0.002°W, 12.4852°W,0.001°E,   1.417°,0.0088°,0.0398°,35802,35773,35799,2008-065B  
