name,orbit_determination_date,first_observation_date,last_observation_date,data_arc_in_days,observations_used,orbit_uncertainty,minimum_orbit_intersection,epoch_osculation,eccentricity,semi_major_axis (AU),inclination (deg),ascending_node_longitude (deg),orbital_period (days),perihelion_distance (AU),perihelion_argument,aphelion_distance (AU),perihelion_time,mean_anomaly (deg),mean_motion (revs/year)
419624 2010 SO16,2021-10-20 05:51:49,2010-09-17,2015-12-28,1928.0,227.0,0.0,0.03,2459600.5,0.08,1.0,14.52,40.36,367.23,0.93,109.18,1.08,2459659.2,302.46,0.98
531898 2013 BE18,2021-04-14 19:51:29,2013-01-16,2019-07-01,2357.0,143.0,0.0,0.25,2459600.5,0.39,2.05,2.43,300.31,1069.24,1.25,264.43,2.84,2459655.1,341.62,0.34
2012 WS10,2021-04-15 07:16:19,2012-11-22,2012-11-26,4.0,36.0,7.0,0.01,2459600.5,0.24,1.07,22.81,238.77,402.89,0.82,88.71,1.32,2459402.53,176.9,0.89
2016 KL1,2021-04-30 06:19:47,2010-03-17,2021-04-30,4062.0,61.0,1.0,0.03,2459600.5,0.28,0.9,18.14,69.78,312.76,0.65,317.04,1.15,2459499.76,115.96,1.15
2017 VD2,2021-04-15 20:04:10,2017-11-10,2017-12-20,40.0,164.0,5.0,0.1,2459600.5,0.3,0.89,24.32,228.54,305.87,0.62,332.09,1.16,2459707.02,234.63,1.18
2018 XO4,2021-04-15 20:56:04,2018-12-13,2019-04-01,109.0,16.0,6.0,0.01,2459600.5,0.24,1.28,3.14,297.92,527.87,0.97,173.46,1.59,2459550.71,33.95,0.68
2021 KC,2021-06-29 06:25:30,2021-05-16,2021-06-10,25.0,118.0,5.0,0.01,2459600.5,0.08,0.97,15.19,61.33,347.13,0.89,35.67,1.04,2459571.31,30.27,1.04
2021 KO2,2021-07-23 05:48:54,2021-05-30,2021-06-01,2.0,20.0,7.0,0.0,2459600.5,0.42,1.0,16.82,69.03,364.72,0.58,62.58,1.42,2459660.68,300.6,0.99
2021 TE3,2021-10-05 22:12:14,2021-09-30,2021-10-05,5.0,14.0,5.0,0.01,2459600.5,0.19,0.94,5.82,6.13,335.52,0.76,238.1,1.13,2459727.42,223.82,1.07
2021 UL4,2021-11-10 08:24:22,2021-10-28,2021-11-10,13.0,26.0,5.0,0.13,2459600.5,0.28,0.96,9.81,227.63,341.79,0.69,11.54,1.22,2459724.73,229.16,1.05
